Name,Address,Phone,Rating,Website
Halfords - Abbey Lane (Leicester),"Unit B St. Margaret's Way, Leicester LE4 0BY, UK",N/A,4.1,https://www.halfords.com/locations/abbey-lane-store/#utm_source=directorylisting&utm_medium=organic&utm_campaign=retail
Halfords - Putney Road (Leicester),"35 Putney Rd, Leicester LE2 7TF, UK",N/A,4.1,https://www.halfords.com/stores/putney-road/#utm_source=directorylisting&utm_medium=organic&utm_campaign=retail
B&Q Wigston,"Bull Head St, Wigston LE18 1PA, UK",0116 288 1360,4.1,https://www.diy.com/store/1043?utm_source=google&utm_medium=organic&utm_campaign=Google_1043
Kwik Fit - Leicester - Wigston,"Bull Head St, Leicester, Wigston LE18 3LS, UK",0116 281 2801,4.4,https://www.kwik-fit.com/locate-a-centre/leicester-wigston-bullhead-street?utm_medium=Google-My-Business&utm_source=Google-My-Business&utm_campaign=leicester-wigston-bullhead-street&utm_content=website-button
Kwik Fit - Leicester - Humberstone,"277-279 Uppingham Rd, Rowlatts Hill, Leicester LE5 4DG, UK",0116 246 1010,4.4,https://www.kwik-fit.com/locate-a-centre/leicester-humberstone-uppingham-road?utm_medium=Google-My-Business&utm_source=Google-My-Business&utm_campaign=leicester-humberstone-uppingham-road&utm_content=website-button
Sterling Bearings,"Sterling House, 2 Law St, Leicester LE4 5GR, UK",0116 261 0330,5,http://www.sterlingbearings.com/
Sandicliffe Mazda Leicester,"154 Welford Rd, Leicester LE2 6BW, UK",0116 404 3253,4.3,https://www.sandicliffe.co.uk/our-locations/leicester-mazda.html
Sytner Leicester BMW,"Meridian Business Park, Meridian E, Leicester LE19 1UY, UK",0116 217 4987,4.3,https://www.sytner.co.uk/bmw/dealerships/leicester/?utm_medium=business_place&utm_source=google&utm_campaign=bmw_leicester_google_business_place
QS Supplies,"72 Forest Rd, Leicester LE5 0DG, UK",0116 251 0051,3.5,https://www.qssupplies.co.uk/
"Parkers "" The Parts People"" ( Leicester )","Foundry Square, Belgrave Gate, Leicester LE1 3WW, UK",0116 242 8200,4.4,http://www.thepartspeople.co.uk/
Kwik Fit - Leicester - Abbey Park,"237-239 Abbey Ln, Leicester LE4 5QH, UK",0116 268 0969,4.2,https://www.kwik-fit.com/locate-a-centre/leicester-abbey-park-abbey-lane?utm_medium=Google-My-Business&utm_source=Google-My-Business&utm_campaign=leicester-abbey-park-abbey-lane&utm_content=website-button
The Dent Brothers Ltd,"12 Stretton Rd, Leicester LE3 6BN, UK",07811 133370,3.3,N/A
Marshall Land Rover Leicester,"445 Narborough Rd, Leicester LE3 2RE, UK",0116 427 2026,3.7,https://www.marshall.co.uk/land-rover/contact-us/marshall-land-rover-leicester/?utm_source=GMB-LandRoverLeicester&utm_medium=Organic&utm_campaign=Local
In Car Services,"252-258 Loughborough Rd, Belgrave, Leicester LE4 5LH, UK",0116 261 0456,4.5,http://www.incarservices.co.uk/
Halfords Autocentre Leicester (Woodgate),"1-3 Littleton St, Woodgate, Leicester LE4 0BP, UK",0116 251 5245,3.9,https://www.halfords.com/locations/leicester-woodgate-autocentre/#utm_source=directorylisting&utm_medium=organic&utm_campaign=autocentres
Profile Motors,"1 Saffron Way, Leicester LE2 6UP, UK",0116 283 3726,4.8,http://www.profilemotors.uk/
Epic Accessories,"wizard.shin.palm, 59 Leicester Rd, Oadby, Leicester LE2 4DF, UK",0116 271 9191,4.8,http://www.epicaccessories.co.uk/
Lodge Tyre Company Limited,"Oswin Rd, Leicester LE3 1HR, UK",0116 251 2228,4.7,https://www.lodgetyre.com/branch/leicester/
Tarsel Motors Ltd,"173 Church Hill Rd, Thurmaston, Leicester LE4 8DH, UK",0116 269 3333,4.8,http://www.tarselmotors.co.uk/
Leicester Tyres & Soap Stars Car Wash,"487 Aylestone Rd, Leicester LE2 8TB, UK",0116 283 6008,4.5,https://www.leicestertyres.com/
B&Q Leicester,"35 Devonshire Rd, Leicester LE4 0BG, UK",0116 253 3100,4.1,https://www.diy.com/store/1012?utm_source=google&utm_medium=organic&utm_campaign=Google_1012
National Windscreens Leicester,"Meridian Business Park, Unit 1 Meridian S, Leicester LE19 1WX, UK",0116 340 0393,4.1,https://www.nationalwindscreens.co.uk/leicester
Rafiki Autoparts,"50 Green Ln Rd, Leicester LE5 3TH, UK",0116 251 1222,4.5,N/A
Car Tronics Leicester,"312-314 Green Ln Rd, Leicester LE5 4PE, UK",0116 276 3716,4.5,https://www.car-tronics.com/
Mertrux Limited,"1 Knights Rd, Leicester LE4 1JY, UK",0116 236 1400,4,http://www.mertrux.com/
City Centre МОТs,"47 Mansfield St, Leicester LE1 3DL, UK",0116 262 3636,5,N/A
Clickatyre,"69 Haynes Rd, Leicester LE5 4AR, UK",07907 795888,4,http://www.clickatyre.com/
Sheffield & Meredith Ltd,"10-20 Upper King St, Leicester LE1 6XE, UK",0116 247 0344,4.8,http://www.sheffieldandmeredith.com/
Abbataz Motors,"UNITS 1-3, 10 Stonebridge St, Leicester LE5 3PA, UK",0116 274 2535,4.7,N/A
Autotech Motor Services LTD,"2 N Mills, Frog Island, Leicester LE3 5DL, UK",0116 262 0416,4.5,N/A
Mc N Tyres,"Unit 1, 63 Bradgate St, Leicester LE4 0AW, UK",07954 391295,4.7,https://mcntyres.wordpress.com/
Leicester Brake & Tyre Centre,"4 Galby St, Leicester LE5 0ED, UK",0116 253 2164,4.5,N/A
Belgrave Auto Spares,"129 Barkby Rd, Leicester LE4 9LG, UK",07791 701997,4.1,N/A
WOODLAND AUTO LTD,"139 Cottesmore Rd, Leicester LE5 3LP, UK",07888 888650,4.6,N/A
Henrys Motor,"264A Tudor Rd, Leicester LE3 5HW, UK",0116 251 2944,4.6,N/A
Star Motors Mercedes Specialist,"Entrance from the venue, 93c Gwendolen Rd, Leicester LE5 5FL, UK",0116 273 0742,4.5,N/A
Ultimate Velocity,"466 Melton Rd, Leicester LE4 7SN, UK",0116 266 2822,1,N/A
Wyvern Garage,"5-9 Fairfax Rd, Leicester LE4 9EH, UK",0116 276 7246,4.7,https://www.wyverngarageleicester.co.uk/
Somaiya Motors,"113 Barkby Rd, Leicester LE4 9LG, UK",0116 261 2727,3.9,http://www.somaiyamotors.co.uk/
ebeepbeep Car Service Centre,"99 Frisby Rd, Leicester LE5 0DQ, UK",0116 262 3911,N/A,http://www.ebeepbeep.com/
